,model,eta,ann_ret,ann_vol,sharpe,cvar95,max_dd
base_eta0.05,base,0.05,0.11478640121442285,0.25313238406687594,0.4534639123222457,0.0354327310391035,-0.3313130348581911
base_eta0.1,base,0.1,0.10183675411474535,0.20800432512174793,0.489589598942901,0.029834959168905755,-0.2921779651860148
base_eta0.5,base,0.5,0.11478535247832133,0.2531311535659204,0.4534619736105652,0.03543258335634507,-0.331312006612965
base_eta1.0,base,1.0,0.09482049731571407,0.2442338968268889,0.38823643461301405,0.03536055605078104,-0.3362849793799666
base_eta5.0,base,5.0,0.1012630581298044,0.24005068194682583,0.42184032683662787,0.033810637434442944,-0.32029566201450754
ot_eta0.05,ot,0.05,0.11478637740933073,0.2531323201593701,0.453463932764738,0.03543272603797739,-0.33131300778611783
ot_eta0.1,ot,0.1,0.08766513825803957,0.1883110559327156,0.4655336768403164,0.02753418150095156,-0.26383842289643245
ot_eta0.5,ot,0.5,0.09550957539935334,0.23601701267293684,0.4046724188129047,0.03425602440276272,-0.3269737909910678
ot_eta1.0,ot,1.0,0.09122713579361186,0.21746393600419583,0.41950466578445306,0.031803534830998396,-0.30657733793400443
ot_eta5.0,ot,5.0,0.08388537652503136,0.21991375786389414,0.38144669683171206,0.03237132612771557,-0.3128598995440345
